mpg, cylinders, cubicinches, hp, weightlbs, time-to-60, year, brand
14,8,350,165,4209,12,1972, US.
31.9,4,89,71,1925,14,1980, Europe.
17,8,302,140,3449,11,1971, US.
15,8,400,150,3761,10,1971, US.
30.5,4,98,63,2051,17,1978, US.
23,8,350,125,3900,17,1980, US.
13,8,351,158,4363,13,1974, US.
14,8,440,215,4312,9,1971, US.
25.4,5,183,77,3530,20,1980, Europe.
37.7,4,89,62,2050,17,1982, Japan.
34,4,108,70,2245,17,1983, Japan.
34.3,4,97,78,2188,16,1981, Europe.
16,8,302,140,4141,14,1975, US.
11,8,350,180,3664,11,1974, US.
19.1,6,225,90, ,19,1981, US.
16.9,8,350,155,4360,15,1980, US.
31.8,4,85,65,2020,19,1980, Japan.
16,8,304,150,3433,12,1971, US.
24,4,113,95,2278,16,1973, Japan.
24,4,107,90,2430,15,1971, Europe.
37.2,4,86,65,2019,16,1981, Japan.
21.5,4,121,110,2600,13,1978, Europe.
24,6,200,81,3012,18,1977, US.
15.5,8,351,142,4054,14,1980, US.
38.1,4,89,60,1968,19,1981, Japan.
33,4,91,53,1795,17,1977, Japan.
31,4,71,65,1773,19,1972, Japan.
14,8,351,148,4657,14,1976, US.
18,6,250,78,3574,21,1977, US.
29.9,4,98,65,2380,21,1982, US.
27,4,97,88,2130,15,1971, Japan.
16,6,250,100,3278,18,1974, US.
23,4,120,97,2506,15,1973, Japan.
21,6,199,90, ,15,1971, US.
30,4,97,67,1985,16,1978, Japan.
22.4,6,231,110,3415,16,1982, US.
26,4,97,46,1835,21,1971, Europe.
21.5,3,80,110,2720,14,1978, Japan.
16.5,8,351,138,3955,13,1980, US.
20.2,6,232,90,3265,18,1980, US.
16,6, ,105,3897,19,1976, US.
14,8,302,140,4638,16,1975, US.
18.5,6,250,110,3645,16,1977, US.
17.5,6,250,110,3520,16,1978, US.
14,8,455,225,3086,10,1971, US.
31.6,4,120,74,2635,18,1982, Japan.
13,8,318,150,3755,14,1977, US.
22,4,122,86,2395,16,1973, US.
29,4,97,78,1940,15,1978, Europe.
20.2,6,200,88,3060,17,1982, US.
13,8,400,150,4464,12,1974, US.
27.2,4,141,71,3190,25,1980, Europe.
14,8,340,160,3609,8,1971, US.
24,4,116,75,2158,16,1974, Europe.
16.5,8,350,180,4380,12,1977, US.
16,8,400,230,4278,10,1974, US.
19,6,156,108,2930,16,1977, Japan.
33.5,4,98,83,2075,16,1978, US.
29,4,90,70,1937,14,1977, Europe.
13,8,360,175,3821,11,1974, US.
18,6,232,100,2945,16,1974, US.
22,4,108,94,2379,17,1974, Japan.
32.7,6,168,132,2910,11,1981, Japan.
46.6,4,86,65,2110,18,1981, Japan.
14,8,318,150,4237,15,1974, US.
18.5,6,250,98,3525,19,1978, US.
26,4,97,46,1950,21,1974, Europe.
32,4,91,67,1965,16,1983, Japan.
29.5,4,97,71,1825,12,1977, Europe.
17.5,8,305,145,3880,13,1978, US.
20,6,198,95,3102,17,1975, US.
27,4,112,88,2640,19,1983, US.
28,4,97,92,2288,17,1973, Japan.
